"Color Name";"Color Number";"Hex";"RGB"
"White";"01";"#EAEAE4";"rgb(234, 234, 228)"
"Ivory";"02";"#E6C9A2";"rgb(230, 201, 162)"
"Beige";"03";"#BA9873";"rgb(186, 152, 115)"
"Beige";"04";"#8F6E46";"rgb(143, 110, 70)"
"Beige";"05";"#D0C092";"rgb(208, 192, 146)"
"Yellow";"06";"#F2D964";"rgb(242, 217, 100)"
"Yellow";"07";"#FAD140";"rgb(250, 209, 64)"
"Yellow";"08";"#FDAD00";"rgb(253, 173, 0)"
"Yellow";"09";"#F4AF5B";"rgb(244, 175, 91)"
"Yellow";"10";"#F59724";"rgb(245, 151, 36)"
"Yellow";"11";"#B97D31";"rgb(185, 125, 49)"
"Orange";"12";"#F07B42";"rgb(240, 123, 66)"
"Orange";"13";"#E87257";"rgb(232, 114, 87)"
"Orange";"14";"#DA5838";"rgb(218, 88, 56)"
"Red";"15";"#BD413A";"rgb(189, 65, 58)"
"Red";"16";"#9A4039";"rgb(154, 64, 57)"
"Red";"17";"#583F40";"rgb(88, 63, 64)"
"Pink";"18";"#F7A879";"rgb(247, 168, 121)"
"Pink";"19";"#FAA495";"rgb(250, 164, 149)"
"Pink";"20";"#DF8686";"rgb(223, 134, 134)"
"Fuchsia";"21";"#BF7595";"rgb(191, 117, 149)"
"Fuchsia";"22";"#A25877";"rgb(162, 88, 119)"
"Violet";"23";"#B7B1DC";"rgb(183, 177, 220)"
"Violet";"24";"#9B8CB5";"rgb(155, 140, 181)"
"Violet";"25";"#776BAB";"rgb(119, 107, 171)"
"Violet";"26";"#7B598F";"rgb(123, 89, 143)"
"Blue";"27";"#87C8D7";"rgb(135, 200, 215)"
"Blue";"28";"#4EB3CD";"rgb(78, 179, 205)"
"Blue";"29";"#1882B4";"rgb(24, 130, 180)"
"Blue";"30";"#195584";"rgb(25, 85, 132)"
"Blue";"31";"#334059";"rgb(51, 64, 89)"
"Green";"32";"#75C89E";"rgb(117, 200, 158)"
"Green";"33";"#7AB96E";"rgb(122, 185, 110)"
"Green";"34";"#42A370";"rgb(66, 163, 112)"
"Green";"35";"#007856";"rgb(0, 120, 86)"
"Green";"36";"#4E795B";"rgb(78, 121, 91)"
"Green";"37";"#515545";"rgb(81, 85, 69)"
"Green";"38";"#415448";"rgb(65, 84, 72)"
"Green";"39";"#40B8A4";"rgb(64, 184, 164)"
"Green";"40";"#009F8A";"rgb(0, 159, 138)"
"Green";"41";"#009185";"rgb(0, 145, 133)"
"Grey";"42";"#889099";"rgb(136, 144, 153)"
"Brown";"43";"#624A3E";"rgb(98, 74, 62)"
"Black";"44";"#383737";"rgb(56, 55, 55)"
"Gold";"45";"#8E7A5A";"rgb(142, 122, 90)"
"Copper";"46";"#7B584C";"rgb(123, 88, 76)"
"Silver";"47";"#CDCECD";"rgb(205, 206, 205)"
"Fluo";"48";"#EDEB00";"rgb(237, 235, 0)"
"Fluo";"49";"#FF7700";"rgb(255, 119, 0)"
"Fluo";"50";"#FF4131";"rgb(255, 65, 49)"
"Fluo";"51";"#F93753";"rgb(249, 55, 83)"
"Fluo";"52";"#00B131";"rgb(0, 177, 49)"
